url,min,max,Listing_Count,Max_Pages,guide_id,Page,Result,search_id,Notes
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=1,0,499.0,6171,25,0,1,complete,19,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=10,0,499.0,6171,25,0,10,complete,18,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=11,0,499.0,6171,25,0,11,complete,24,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=12,0,499.0,6171,25,0,12,complete,7,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=13,0,499.0,6171,25,0,13,complete,23,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=14,0,499.0,6171,25,0,14,complete,10,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=15,0,499.0,6171,25,0,15,complete,13,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=16,0,499.0,6171,25,0,16,complete,14,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=17,0,499.0,6171,25,0,17,complete,9,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=18,0,499.0,6171,25,0,18,complete,2,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=19,0,499.0,6171,25,0,19,complete,6,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=2,0,499.0,6171,25,0,2,complete,21,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=20,0,499.0,6171,25,0,20,complete,3,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=21,0,499.0,6171,25,0,21,complete,17,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=22,0,499.0,6171,25,0,22,complete,22,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=23,0,499.0,6171,25,0,23,complete,20,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=24,0,499.0,6171,25,0,24,complete,5,no matches message
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=25,0,499.0,6171,25,0,25,complete,16,no matches message
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=3,0,499.0,6171,25,0,3,complete,0,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=4,0,499.0,6171,25,0,4,complete,11,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=5,0,499.0,6171,25,0,5,complete,12,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=6,0,499.0,6171,25,0,6,complete,15,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=7,0,499.0,6171,25,0,7,complete,1,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=8,0,499.0,6171,25,0,8,complete,8,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499&page=9,0,499.0,6171,25,0,9,complete,4,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=10000&list_price_max=10649&page=1,10000,10649.0,5786,24,19,1,complete,375,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=10000&list_price_max=10649&page=10,10000,10649.0,5786,24,19,10,complete,371,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=10000&list_price_max=10649&page=11,10000,10649.0,5786,24,19,11,complete,366,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=10000&list_price_max=10649&page=12,10000,10649.0,5786,24,19,12,complete,368,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=10000&list_price_max=10649&page=13,10000,10649.0,5786,24,19,13,complete,376,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=10000&list_price_max=10649&page=14,10000,10649.0,5786,24,19,14,complete,362,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=10000&list_price_max=10649&page=15,10000,10649.0,5786,24,19,15,complete,372,
https://www.cars.com/shopping/results/?page_size=250&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=10000&list_price_max=10649&page=16,10000,10649.0,5786,24,19,16,complete,364,
